元件编号	元件名称	元件类别	封装规格	焊盘数量	品牌产地	库类型
C17888	0Ω (0R0) ±1%	电阻_贴片电阻	1206	2	UniOhm台湾厚声 (授权代理)	基础库
C17903	10Ω (10R0) ±1%	电阻_贴片电阻	1206	2	UniOhm台湾厚声 (授权代理)	基础库
C17168	0Ω (0R0) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25741	100KΩ (1003) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25744	10KΩ (1002) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C11702	1KΩ (1001) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C25900	4.7KΩ (4701) ±1%	电阻_贴片电阻	0402	2	UniOhm台湾厚声 (授权代理)	基础库
C4184	20KΩ (2002) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C4216	33KΩ (3302) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C8218	200Ω (2000) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22775	100Ω (1000) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22787	120Ω (1200) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22790	12KΩ (1202) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C21190	1KΩ (1001) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22809	15KΩ (1502) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22843	1.5KΩ (1501) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22859	10Ω (10R0) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22935	1MΩ (1004) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C4190	2.2KΩ (2201) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22978	3.3KΩ (3301) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C22975	2KΩ (2001) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C21189	0Ω (0R0) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23138	330Ω (3300) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23140	33Ω (33R0) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C4211	3KΩ (3001) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23162	4.7KΩ (4701) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23179	470Ω (4700) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23186	5.1KΩ (5101) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23193	510Ω (5100) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23196	51KΩ (5102) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23212	6.8KΩ (6801) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C23345	22Ω (22R0) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C25803	100KΩ (1003) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
C25811	200KΩ (2003) ±1%	电阻_贴片电阻	0603	2	UniOhm台湾厚声 (授权代理)	基础库
